Date,Close
2005-07-31,12.46
2005-08-31,13.42
2005-09-30,13.3
2005-10-31,12.99
2005-11-30,13.41
2005-12-31,13.71
2006-01-31,15.33
2006-02-28,16.12
2006-03-31,20.08
2006-04-30,19.49
2006-05-31,18.03
2006-06-30,15.62
2006-07-31,16.16
2006-08-31,17.84
2006-09-30,18.46
2006-10-31,22.78
2006-11-30,25.32
2006-12-31,26.97
2007-01-31,30.16
2007-02-28,28.63
2007-03-31,28.14
2007-04-30,30.31
2007-05-31,33.51
2007-06-30,35.98
2007-07-31,37.93
2007-08-31,36.99
2007-09-30,41.36
2007-10-31,43.48
2007-11-30,46.18
2007-12-31,49.81
2008-01-31,50.54
2008-02-29,49.42
2008-03-31,33.75
2008-04-30,34.06
2008-05-31,31.13
2008-06-30,22.85
2008-07-31,25.45
2008-08-31,26.83
2008-09-30,24.13
2008-10-31,13.58
2008-11-30,12.26
2008-12-31,15.03
2009-01-31,12.24
2009-02-28,10.26
2009-03-31,9.98
2009-04-30,15.45
2009-05-31,25.12
2009-06-30,29.68
2009-07-31,31.93
2009-08-31,33.45
2009-09-30,40.99
2009-10-31,47.31
2009-11-30,50.57
2009-12-31,53.41
2010-01-31,49.84
2010-02-28,47.32
2010-03-31,50.97
2010-04-30,57.1
2010-05-31,57.57
2010-06-30,53.83
2010-07-31,58.99
2010-08-31,62.22
2010-09-30,70.3
2010-10-31,71.86
2010-11-30,61.21
2010-12-31,62.54
2011-01-31,52.59
2011-02-28,51.29
2011-03-31,61.98
2011-04-30,61.02
2011-05-31,60.07
2011-06-30,62.38
2011-07-31,62.13
2011-08-31,55.61
2011-09-30,54.5
2011-10-31,62.9
2011-11-30,54.49
2011-12-31,47.72
2012-01-31,65.99
2012-02-29,69.14
2012-03-31,73.46
2012-04-30,70.07
2012-05-31,66.02
2012-06-30,67.83
2012-07-31,72.85
2012-08-31,65.97
2012-09-30,76.44
2012-10-31,82.29
2012-11-30,88.48
2012-12-31,92.84
2013-01-31,104.41
2013-02-28,94.5
2013-03-31,85.71
2013-04-30,100.28
2013-05-31,97.49
2013-06-30,92.2
2013-07-31,64.76
2013-08-31,48.65
2013-09-30,57.5
2013-10-31,73.76
2013-11-30,73.74
2013-12-31,74.02
2014-01-31,61.59
2014-02-28,60.95
2014-03-31,82.7
2014-04-30,88.14
2014-05-31,113.89
2014-06-30,108.38
2014-07-31,108.21
2014-08-31,114.33
2014-09-30,111.7
2014-10-31,136.83
2014-11-30,142.08
2014-12-31,154.57
2015-01-31,172.5
2015-02-28,172.55
2015-03-31,163.31
2015-04-30,167.96
2015-05-31,176.52
2015-06-30,168.6
2015-07-31,165.74
2015-08-31,137.9
2015-09-30,145.92
2015-10-31,151.82
2015-11-30,153.3
2015-12-31,145.23
2016-01-31,149.38
2016-02-29,137.67
2016-03-31,172.91
2016-04-30,188.73
2016-05-31,206.39
2016-06-30,221.3
2016-07-31,243.44
2016-08-31,272.56
2016-09-30,250.85
2016-10-31,253.52
2016-11-30,234.28
2016-12-31,231.26
2017-01-31,279.1
2017-02-28,290.56
2017-03-31,309.82
2017-04-30,326.14
2017-05-31,286.38
2017-06-30,292.37
2017-07-31,361.96
2017-08-31,351.15
2017-09-30,350.0
2017-10-31,314.35
2017-11-30,306.8
2017-12-31,315.05
2018-01-31,354.45
2018-02-28,322.25
2018-03-31,304.9
2018-04-30,362.05
2018-05-31,346.2
2018-06-30,339.6
2018-07-31,367.9
2018-08-31,343.4
2018-09-30,183.45
2018-10-31,188.05
2018-11-30,169.65
2018-12-31,181.75
2019-01-31,194.3
2019-02-28,231.2
2019-03-31,275.05
2019-04-30,168.0
2019-05-31,147.95
2019-06-30,108.7
2019-07-31,91.3
2019-08-31,59.5
2019-09-30,41.45
2019-10-31,70.45
2019-11-30,68.3
2019-12-31,46.95
2020-01-31,39.2
2020-02-29,34.55
2020-03-31,22.45
2020-04-30,27.95
2020-05-31,26.85
2020-06-30,25.6
2020-07-31,11.95
2020-08-31,14.37
2020-09-30,13.15
2020-10-31,12.42
2020-11-30,14.67
